,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD,BNB-USD,BTC-USD,ETH-USD,LTC-USD,XRP-USD
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-05-05,14.36870002746582,9858.150390625,816.1199951171875,177.76199340820312,0.9051030278205872,14.36870002746582,9858.150390625,816.1199951171875,177.76199340820312,0.9051030278205872,14.503199577331543,9964.5,827.4550170898438,181.6280059814453,0.922353982925415,14.211899757385254,9695.1201171875,784.2369995117188,168.35000610351562,0.8955619931221008,14.319299697875977,9700.2802734375,784.5830078125,168.35000610351562,0.8955619931221008,71502096,7651939840,3035040000,741246016,668800000
2018-05-06,13.94260025024414,9654.7998046875,792.3109741210938,171.8000030517578,0.8714240193367004,13.94260025024414,9654.7998046875,792.3109741210938,171.8000030517578,0.8714240193367004,14.799200057983398,9940.1396484375,835.0570068359375,182.88299560546875,0.9186750054359436,13.676300048828125,9465.25,764.8829956054688,166.1750030517578,0.8559719920158386,14.362299919128418,9845.3095703125,816.0880126953125,178.02099609375,0.9042350053787231,74731600,7222280192,3105570048,626270016,640057024
2018-05-07,13.702500343322754,9373.009765625,753.7249755859375,164.87899780273438,0.8326410055160522,13.702500343322754,9373.009765625,753.7249755859375,164.87899780273438,0.8326410055160522,13.970000267028809,9665.849609375,795.7579956054688,171.91700744628906,0.8712360262870789,12.994500160217285,9231.5302734375,710.177978515625,158.92999267578125,0.8129330277442932,13.939000129699707,9645.669921875,793.3389892578125,171.75900268554688,0.871213972568512,59800200,7394019840,4316120064,573281024,602534976
2018-05-08,13.529000282287598,9234.8203125,752.8569946289062,159.61700439453125,0.8139700293540955,13.529000282287598,9234.8203125,752.8569946289062,159.61700439453125,0.8139700293540955,13.922800064086914,9462.75,774.2490234375,167.9810028076172,0.846992015838623,13.148200035095215,9127.76953125,728.1290283203125,158.1580047607422,0.8035680055618286,13.70460033416748,9380.8701171875,755.0089721679688,164.8300018310547,0.8330860137939453,57865500,7415869952,2920489984,466308992,465040992
2018-05-09,14.660200119018555,9325.1796875,752.2750244140625,157.05499267578125,0.8020430207252502,14.660200119018555,9325.1796875,752.2750244140625,157.05499267578125,0.8020430207252502,14.812899589538574,9374.759765625,759.5289916992188,159.61700439453125,0.8199689984321594,13.079899787902832,9031.6201171875,718.4719848632812,152.59800720214844,0.7702999711036682,13.524499893188477,9223.73046875,752.9019775390625,159.61700439453125,0.8133929967880249,99046304,7226890240,2877870080,448136000,611574976
2018-05-10,13.818400382995605,9043.9404296875,727.2769775390625,149.86900329589844,0.7582370042800903,13.818400382995605,9043.9404296875,727.2769775390625,149.86900329589844,0.7582370042800903,15.045599937438965,9396.0400390625,766.7479858398438,160.33599853515625,0.8089140057563782,13.818400382995605,9040.51953125,726.6640014648438,149.33700561523438,0.7573419809341431,14.675000190734863,9325.9599609375,752.5789794921875,157.1510009765625,0.8032119870185852,68250000,6906699776,2748950016,426694016,399324000
2018-05-11,12.993900299072266,8441.490234375,679.5859985351562,137.11700439453125,0.6849480271339417,12.993900299072266,8441.490234375,679.5859985351562,137.11700439453125,0.6849480271339417,14.094099998474121,9052.9599609375,736.9769897460938,149.44500732421875,0.761326014995575,12.589500427246094,8394.4599609375,669.8250122070312,134.7259979248047,0.6560260057449341,13.880499839782715,9052.9599609375,727.0130004882812,149.44500732421875,0.7565780282020569,57027500,8488520192,3290080000,530416000,991409024
2018-05-12,12.943900108337402,8504.8896484375,686.0479736328125,141.8820037841797,0.6967350244522095,12.943900108337402,8504.8896484375,686.0479736328125,141.8820037841797,0.6967350244522095,13.147199630737305,8664.8603515625,691.4110107421875,144.41900634765625,0.7149180173873901,12.253899574279785,8223.5,644.0659790039062,132.58799743652344,0.6397709846496582,12.972700119018555,8441.4404296875,679.8770141601562,137.2570037841797,0.6857720017433167,44001000,6821380096,2668480000,410184992,596684992
